file,row,seance,size_bytes,dark_pixels,total_pixels,density
row18_seance6.jpg,18,6,2740,353,12040,0.0293
row19_seance7.jpg,19,7,2743,353,12040,0.0293
row78_seance7.jpg,78,7,2892,348,11760,0.0296
row76_seance7.jpg,76,7,2424,357,12040,0.0297
row85_seance10.jpg,85,10,3060,363,12152,0.0299
row73_seance8.jpg,73,8,2835,365,12096,0.0302
row19_seance10.jpg,19,10,2625,361,11872,0.0304
row21_seance6.jpg,21,6,2606,364,11984,0.0304
row35_seance8.jpg,35,8,3001,365,11984,0.0305
row80_seance7.jpg,80,7,2487,361,11816,0.0306
row67_seance10.jpg,67,10,3013,386,12540,0.0308
row79_seance10.jpg,79,10,2887,369,11935,0.0309
row15_seance6.jpg,15,6,3485,373,11984,0.0311
row24_seance7.jpg,24,7,2547,382,12040,0.0317
row60_seance7.jpg,60,7,3086,378,11816,0.032
row7_seance9.jpg,7,9,3035,393,12084,0.0325
row30_seance6.jpg,30,6,3050,392,12027,0.0326
row71_seance7.jpg,71,7,2808,386,11816,0.0327
row6_seance8.jpg,6,8,2885,395,11984,0.033
row20_seance7.jpg,20,7,3153,391,11816,0.0331
row48_seance9.jpg,48,9,2990,401,12027,0.0333
row61_seance10.jpg,61,10,3026,414,12320,0.0336
row6_seance6.jpg,6,6,2723,404,11928,0.0339
row67_seance7.jpg,67,7,2695,407,11970,0.034
row82_seance10.jpg,82,10,3084,422,12426,0.034
row5_seance9.jpg,5,9,2644,399,11660,0.0342
row39_seance10.jpg,39,10,2258,422,12208,0.0346
row16_seance8.jpg,16,8,3175,418,12040,0.0347
row35_seance10.jpg,35,10,2409,416,11984,0.0347
row76_seance8.jpg,76,8,2624,420,11816,0.0355
row80_seance6.jpg,80,6,2648,436,11984,0.0364
row3_seance9.jpg,3,9,2681,426,11660,0.0365
row81_seance6.jpg,81,6,2379,449,12040,0.0373
row33_seance10.jpg,33,10,2534,456,12198,0.0374
row27_seance8.jpg,27,8,3223,449,11984,0.0375
row24_seance10.jpg,24,10,2494,456,12040,0.0379
